IRSZ;CíMHELY NEVE;JELLEGE;VÁROSRÉSZ;1.SZÁM;1.JEL;2.SZÁM;2.JEL
9025;Kazamata                      ;utca;;0;;0;
9021;Kazinczy                      ;utca;;0;;0;
9027;Kelta                         ;utca;;0;;0;
9025;Kemény Ferenc;sétány;;0;;0;
9024;Kéményseprõ;utca;;0;;0;
9030;Kenderáztató                  ;utca;;0;;0;
9011;Kenderes                      ;út;Gyõrszentiván;0;;0;
9019;Kenderföldi                   ;út;Gyirmót;0;;0;
9026;Kenus;utca;;0;;0;
9022;Kenyér                        ;köz;;0;;0;
9027;Kenyérgyár;;;0;;0;
9030;Kereknád                      ;utca;;0;;0;
9012;Keréktó;utca;;0;;0;
9025;Kereszt                       ;utca;;0;;0;
9024;Kert                          ;utca;;0;;0;
9011;Kertaljai                     ;utca;Gyõrszentiván;0;;0;
9028;Kertes;utca;;0;;0;
9026;Kertész                       ;utca;;0;;0;
9028;Keskeny;utca;;0;;0;
9011;Kicsi                         ;út;Gyõrszentiván;0;;0;
9025;Kígyó                         ;utca;;0;;0;
9030;Kinizsi Pál                   ;utca;;0;;0;
9021;Király                        ;utca;;0;;0;
9012;Királyszék                    ;út;Ménfõcsanak;0;;0;
9028;Király-hágó;utca;;0;;0;
9025;Kis                           ;utca;;0;;0;
9028;Kisdiófa                      ;utca;;0;;0;
9012;Kisdobos                      ;utca;Ménfõcsanak;0;;0;
9021;Kisfaludy                     ;utca;;1;;31;
9021;Kisfaludy                     ;utca;;2;;30;
9022;Kisfaludy                     ;utca;;-3;;0;
9011;Kishegy                   ;;Gyõrszentiván;0;;0;
9011;Kishegyi;út;;0;;0;
9025;Kishosszúvölgy                ;;;0;;0;
9024;Kiskert;út;;0;;0;
9027;Kiskúti                        ;liget;;0;;0;
9027;Kiskúti                        ;vízmû;;0;;0;
9027;Kiskúti                       ;út;;0;;0;
9028;Kismegyeri                    ;út;;0;;0;
9028;Kismegyeri                    ;õrház;;0;;0;
9028;Kismegyeri                    ;vasútállomás;;0;;0;
9030;Kismezõ                       ;utca;;0;;0;
9025;Kispásztor                    ;utca;;0;;0;
9012;Kisrét;utca;;0;;0;
9012;Kiss Angyal Ernõ;utca;;0;;0;
9025;Kiss Ernõ                     ;utca;;0;;0;
9022;Kiss János                    ;utca;;0;;0;
9011;Kisvasúti                     ;utca;Gyõrszentiván;0;;0;
9027;Klapka                        ;utca;;0;;0;
9025;Knézich                       ;utca;;0;;0;
9029;Kócsa Ferenc                  ;utca;;0;;0;
9026;Kócsag;utca;;0;;0;
9023;Kodály Zoltán                 ;utca;;0;;0;
9012;Koltói Anna                   ;utca;Ménfõcsanak;0;;0;
9012;Komlóvölgyi                   ;út;Ménfõcsanak;0;;0;
9028;Konini                        ;út;;0;;0;
9028;Kopja                         ;utca;;0;;0;
9028;Koppány                       ;utca;;0;;0;
9025;Korányi Frigyes               ;tér;;0;;0;
9025;Korbonits                     ;utca;;0;;0;
9026;Kormorán;utca;;0;;0;
9024;Kormos István                 ;utca;;0;;0;
9027;Koroknay Gyula;utca;;0;;0;
9011;Korona;út;Gyõrszentiván;0;;0;
9012;Koroncói                      ;út;Ménfõcsanak;0;;0;
9025;Kossuth Lajos                 ;utca;;0;;0;
9029;Kosztolányi Dezsõ             ;utca;;0;;0;
9024;Kovács Margit                 ;utca;;0;;0;
9027;Kölcsey                       ;utca;;0;;0;
9011;Kör                           ;tér;Gyõrszentiván;0;;0;
9027;Kõrisfa;utca;;0;;0;
9023;Körkemence                    ;utca;;0;;0;
9028;Köröskényi;utca;;0;;0;
9026;Körte                         ;utca;;0;;0;
9026;Körtöltés                     ;utca;;0;;0;
9027;Kövecses                      ;utca;;0;;0;
9028;Köves;utca;;0;;0;
9012;Kõvirág                       ;utca;Ménfõcsanak;0;;0;
9029;Kövirózsa;utca;;0;;0;
9024;Közép                         ;utca;;0;;0;
9026;Közép                         ;dûlõ;;0;;0;
9025;Köztelek                      ;utca;;0;;0;
9026;Községház                     ;utca;;0;;0;
9012;Krúdy Gyula                   ;utca;Ménfõcsanak;0;;0;
9029;Kultúrház                     ;utca;;0;;0;
9025;Kunszigeti                    ;út;;0;;0;
9012;Kuruc;utca;;0;;0;
9025;Kút                           ;utca;;0;;0;
9027;Külsõ Árpád                   ;út;;0;;0;
9029;Külsõ Bácsai                  ;út;;0;;0;
9028;Külsõ Sági;út;;0;;0;
9011;Külsõ vasút                   ;sor;Gyõrszentiván;0;;0;
9028;Külsõ Veszprémi               ;út;;0;;0;
9029;Ladik                         ;utca;;0;;0;
9024;Láhner György                 ;utca;;0;;0;
9024;Lajta                         ;út;;0;;0;
9025;Lakatos                       ;utca;;0;;0;
9027;Laktanya;utca;;0;;0;
9012;Lankás                        ;utca;Ménfõcsanak;0;;0;
9012;Lapály;utca;;0;;0;
9019;Laposi                        ;út;Gyirmót;0;;0;
9023;Lázár Vilmos                  ;utca;;0;;0;
9025;Lazaret                       ;utca;;0;;0;
9011;Lehár Ferenc                  ;út;Gyõrszentiván;0;;0;
9023;Lehel                         ;utca;;0;;0;
9026;Leibstück Mária               ;utca;;0;;0;
9024;Leiningen                     ;utca;;0;;0;
9025;Lencse                        ;köz;;0;;0;
9021;Lépcsõ                        ;köz;;0;;0;
9028;Lepke                         ;utca;;0;;0;
9028;Lesvár;utca;;0;;0;
9025;Levél;utca;;0;;0;
9028;Levendula                     ;utca;;0;;0;
9024;Liezen-Mayer                  ;utca;;0;;0;
9025;Liget                         ;utca;;0;;0;
9022;Liszt Ferenc                  ;utca;;0;;0;
9024;Lomb                          ;utca;;0;;0;
9024;Lomnic                        ;utca;;0;;0;
9028;Lovarda                       ;utca;;0;;0;
9028;Lovas                         ;utca;;0;;0;
9011;Lõtér                         ;út;Gyõrszentiván;0;;0;
9024;Lugas;utca;;0;;0;
9022;Lukács Sándor                 ;utca;;0;;0;
9027;Madách                        ;utca;;0;;0;
9028;Magtár;utca;;0;;0;
9023;Magyar                        ;utca;;0;;0;
9028;Major;utca;;0;;0;
9024;Majorok                       ;utca;;0;;0;
9025;Mákos                         ;dûlõ;;0;;0;
9012;Málna;utca;Ménfõcsanak;0;;0;
9012;Malom                         ;út;Ménfõcsanak;0;;0;
9026;Malomsok;sétány;;0;;0;
9024;Malomszéki;út;;0;;0;
9028;Mályva;utca;;0;;0;
9012;Mandula                       ;utca;Ménfõcsanak;0;;0;
9027;Mandulafa;sor;;0;;0;
9027;Márai Sándor;utca;Városrét;0;;0;
9024;Marcal                        ;utca;;0;;0;
9023;Március 15.                   ;utca;;0;;0;
9024;Margaréta;utca;;0;;0;
9027;Markó Iván;utca;;0;;0;
9027;Martin;utca;;0;;0;
9027;Mártírok                      ;útja;;0;;0;
9025;Márvány                       ;utca;;0;;0;
9028;Máté Mária;utca;;0;;0;
9027;Mátyás király                 ;tér;;0;;0;
9026;Mayer Lajos                   ;utca;;0;;0;
9024;MÁV 98-as ;õrház;;0;;0;
9028;Mazsola                       ;utca;;0;;0;
9024;Mécs László                   ;utca;;0;;0;
9030;Meder                         ;utca;;0;;0;
9029;Medvei;utca;;0;;0;
9024;Meggyfa;utca;;0;;0;
9019;Ménfõi                        ;út;Gyirmót;0;;0;
9012;Mérföldkõ;út;Ménfõcsanak;0;;0;
9023;Mester                        ;utca;;0;;0;
9023;Mészáros Lõrinc               ;utca;;0;;0;
9026;Mezõ                          ;utca;;0;;0;
9011;Mogyorós                      ;út;Gyõrszentiván;0;;0;
9011;Moha;út;Gyõrszentiván;0;;0;
9028;Mohács;utca;;0;;0;
9028;Mohi;utca;;0;;0;
9011;Mókus;utca;;0;;0;
9011;Molnár                        ;út;Gyõrszentiván;0;;0;
9011;Molnár Vid;utca;Gyõrszentiván;0;;0;
9024;Mónus Illés                   ;utca;;0;;0;
9028;Móra Ferenc                   ;tér;;0;;0;
9022;Móricz Zsigmond               ;rakpart;;0;;0;
9011;Mozdony;köz;;0;;0;
9028;Mozsár                        ;utca;;0;;0;
9021;Munkácsy Mihály               ;utca;;0;;0;
9027;Munkás                        ;utca;;0;;0;
9025;Muskátli                      ;utca;;0;;0;
9022;Múzeum                        ;köz;;0;;0;
9029;Nád                           ;utca;;0;;0;
9024;Nádas Ernõ                    ;utca;;0;;0;
9012;Nádasdy Ferenc                ;utca;Ménfõcsanak;0;;0;
9024;Nádor;utca;;0;;0;
