2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nemzetiségi önkormányzat,,,,,,,,,,,,
Helység megnevezése,Helység KSH kódja,Helység jogállása,Vármegye megnevezése,Járás kódja,Járás neve,Járás székhelye,"Polgármesteri hivatal, közös önkormányzati hivatal kódja","Polgármesteri hivatal, közös önkormányzati hivatal székhelye",Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Adorjánháza,31307,község,Veszprém,186 0,Devecseri,Devecser,5 ,Somlóvásárhely,"1,143",349,197,,,,,,,,1,,,,,,
Adorjás,06868,község,Baranya,030 0,Sellyei,Sellye,5 ,Baksa,810,160,59,,,,,,,,1,,,,,,
Ág,25812,község,Baranya,025 0,Hegyháti,Sásd,5 ,Vásárosdombó,"1,203",153,67,,,,,,,,1,,,,,,
Ágasegyháza,17686,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,1 ,–,"5,587",1861,897,,,,,,,,,,,,,,
Ágfalva,04880,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,1 ,–,"1,308",2409,866,,,,,,1,,,,,,,,
Aggtelek,09362,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,5 ,Ragály,"4,382",443,241,,,,,,,,,,,,,,
Agyagosszergény,29407,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,5 ,Vitnyéd,"1,988",926,391,,,,,,,,,,,,,,
Ajak,08776,város,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,1 ,–,"2,476",3218,1289,,,,,,,,,,,,,,
Ajka,06673,város,Veszprém,183 1,Ajkai,Ajka,2 ,[Helyben],"9,504",26007,12908,,,,,,1,,1,,,,,,
Aka,06682,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5 ,Tárkány,"1,809",250,125,,,,,,,,,,,,,,
Akasztó,21944,község,Bács-Kiskun,039 0,Kiskőrösi,Kiskőrös,1 ,–,"6,488",3113,1533,,,,,,,,,,,,,,
Alacska,33093,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,5 ,Berente,856,599,267,,,,,,,,,,,,,,
Alap,26824,község,Fejér,084 0,Sárbogárdi,Sárbogárd,2 ,[Helyben],"4,829",1840,848,,,,,,,,,,,,,,
Alattyán,25265,község,Jász-Nagykun-Szolnok,161 0,Jászapáti,Jászapáti,1 ,–,"3,429",2060,884,,,,,,,,1,,,,,,
Albertirsa,31653,város,Pest,124 0,Ceglédi,Cegléd,2 ,[Helyben],"7,300",13950,5285,,,,,,,,1,,,,1,,
Alcsútdoboz,15176,község,Fejér,077 0,Bicskei,Bicske,5 ,Felcsút,"5,071",1507,577,,,,,,,,,,,,,,
Aldebrő,06345,község,Heves,105 0,Füzesabonyi,Füzesabony,5 ,Kápolna,"2,178",689,347,,,,,,1,,,,,,,,
Algyő,34245,nagyközség,Csongrád-Csanád,075 0,Szegedi,Szeged,1 ,–,"7,577",5364,2093,,,,,,,,1,,,,,,
Alibánfa,02644,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Pókaszepetk,584,428,171,,,,,,,,,,,,,,
Almamellék,13329,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Szentlászló,"4,433",373,170,,,,,,1,,,,,,,,
Almásfüzitő,32346,község,Komárom-Esztergom,112 0,Komáromi,Komárom,1 ,–,818,2016,1119,,,,,,,,,,,,,,
Almásháza,23384,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Nagykapornak,498,75,40,,,,,,,,,,,,,,
Almáskamarás,29595,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,5 ,Kunágota,"1,471",643,421,,,,,,1,,,,,,,,
Almáskeresztúr,20376,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Mozsgó,"1,303",85,51,,,,,,,,,,,,,,
Álmosd,27641,község,Hajdú-Bihar,101 0,Nyíradonyi,Nyíradony,2 ,[Helyben],"3,413",1638,675,,,,,,,,1,,,,,,
Alsóberecki,20482,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,5 ,Mikóháza,686,654,280,,,,,,,,,,,,,,
Alsóbogát,34184,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Somogyjád,"1,201",219,98,,,,,,,,,,,,,,
Alsódobsza,19664,község,Borsod-Abaúj-Zemplén,066 0,Szerencsi,Szerencs,5 ,Megyaszó,"1,068",294,137,,,,,,,,,,,,,,
Alsógagy,14429,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5 ,Szalaszend,628,86,51,,,,,,,,,,,,,,
Alsómocsolád,17385,község,Baranya,025 0,Hegyháti,Sásd,5 ,Mágocs,"1,300",264,134,,,,,,,,,,,,,,
Alsónána,29665,község,Tolna,173 0,Szekszárdi,Szekszárd,5 ,Bátaszék,"1,314",611,281,,,,,,,,,,,,,,
Alsónémedi,23199,nagyközség,Pest,129 0,Gyáli,Gyál,1 ,–,"4,907",5584,2193,,,,,,,,,,,,,,
Alsónemesapáti,19512,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Nagypáli,"1,451",668,274,,,,,,,,,,,,,,
Alsónyék,11563,község,Tolna,173 0,Szekszárdi,Szekszárd,5 ,Bátaszék,"3,201",646,299,,,,,,,,,,,,,,
Alsóörs,30526,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,2 ,[Helyben],"3,334",1919,1029,,,,,,,,,,,,,,
Alsópáhok,32081,község,Zala,193 0,Keszthelyi,Keszthely,2 ,[Helyben],"1,802",1462,855,,,,,,,,,,,,,,
Alsópetény,16425,község,Nógrád,119 0,Rétsági,Rétság,5 ,Nézsa,"1,968",573,305,,,,,,,,,,,,1,,
Alsórajk,18829,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5 ,Garabonc,845,318,165,,,,,,,,,,,,,,
Alsóregmec,23223,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,5 ,Mikóháza,"1,540",194,88,,,,,,,,,,,,1,,
Alsószenterzsébet,08767,község,Zala,194 0,Lenti,Lenti,5 ,Csesztreg,963,53,39,,,,,,,,,,,,,,
Alsószentiván,25283,község,Fejér,084 0,Sárbogárdi,Sárbogárd,5 ,Alap,"3,965",542,281,,,,,,,,,,,,,,
Alsószentmárton,33279,község,Baranya,031 0,Siklósi,Siklós,5 ,Siklósnagyfalu,"1,361",1176,293,,,,,,,,1,,,,,,
Alsószölnök,22549,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,2 ,[Helyben],"1,002",332,172,,,,,,1,,,,,,,1,
Alsószuha,28839,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,5 ,Ragály,"2,242",374,165,,,,,,,,1,,,,,,
Alsótelekes,08217,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,5 ,Rudabánya,644,113,93,,,,,,,,,,,,,,
Alsótold,07621,község,Nógrád,118 0,Pásztói,Pásztó,5 ,Szurdokpüspöki,786,222,114,,,,,,,,,,,,,,
Alsóújlak,22725,község,Vas,182 0,Vasvári,Vasvár,5 ,Kám,"2,102",525,280,,,,,,,,,,,,,,
Alsóvadász,29814,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5 ,Aszaló,"2,290",1525,443,,,,,,,,1,,,,,,
Alsózsolca,21032,város,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,1 ,–,"2,602",5459,1877,,,,,,,,1,,,,,,
Ambrózfalva,16197,község,Csongrád-Csanád,073 0,Makói,Makó,5 ,Csanádalberti,"1,122",415,241,,,,,,,,,,,,1,,
Anarcs,29975,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,5 ,Gyulaháza,"1,706",1841,639,,,,,,,,1,,,,,,
Andocs,28714,község,Somogy,147 0,Tabi,Tab,2 ,[Helyben],"4,327",916,457,,,,,,,,,,,,,,
Andornaktálya,17987,község,Heves,104 0,Egri,Eger,1 ,–,"1,675",2569,1056,,,,,,,,,,,,,,
Andrásfa,12317,község,Vas,182 0,Vasvári,Vasvár,5 ,Győrvár,823,238,132,,,,,,,,,,,,,,
Annavölgy,34227,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,5 ,Csolnok,483,884,393,,,,,,,,,,,,,,
Apácatorna,28370,község,Veszprém,186 0,Devecseri,Devecser,5 ,Tüskevár,729,138,80,,,,,,,,,,,,,,
Apagy,20303,község,Szabolcs-Szatmár-Bereg,157 0,Nyíregyházi,Nyíregyháza,1 ,–,"3,199",2167,854,,,,,,,,,,,,,,
Apaj,33561,község,Pest,134 0,Ráckevei,Ráckeve,5 ,Áporka,"7,104",1093,428,,,,,,,,,,,,,,
Aparhant,26125,község,Tolna,170 0,Bonyhádi,Bonyhád,2 ,[Helyben],"1,797",899,385,,,,,,1,,1,,,,,,
Apátfalva,14252,község,Csongrád-Csanád,073 0,Makói,Makó,2 ,[Helyben],"5,384",2799,1506,,,,,,,,1,1,,,,,
Apátistvánfalva,08873,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,5 ,Szentgotthárd,"1,286",372,161,,,,,,,,,,,,,1,
Apátvarasd,27298,község,Baranya,029 0,Pécsváradi,Pécsvárad,5 ,Pécsvárad,814,113,40,,,,,,,,,,,,,,
Apc,07241,község,Heves,107 0,Hatvani,Hatvan,1 ,–,"2,046",2421,1083,,,,,,,,,,,,,,
Áporka,10108,község,Pest,134 0,Ráckevei,Ráckeve,2 ,[Helyben],"1,747",1262,531,,,,,,,,,,,,,,
Apostag,21148,község,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,2 ,[Helyben],"3,194",2031,979,,,,,,,,,,,,,,
Aranyosapáti,09353,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,2 ,[Helyben],"2,112",2032,640,,,,,,,,1,,,,,,
Aranyosgadány,06886,község,Baranya,028 0,Pécsi,Pécs,5 ,Pellérd,826,307,138,,,,1,,1,,,,,,,,
Arka,26198,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5 ,Abaújkér,949,53,72,,,,,,,,,,,,,,
Arló,14331,nagyközség,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,1 ,–,"4,687",3454,1119,,,,,,,,1,,,,,,
Arnót,03771,község,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,1 ,–,"1,754",2254,820,,,,,,,,1,,,,,,
Ároktő,03823,község,Borsod-Abaúj-Zemplén,059 0,Mezőcsáti,Mezőcsát,5 ,Mezőcsát,"4,641",1032,452,,,,,,,,1,,,,,,
Árpádhalom,19062,község,Csongrád-Csanád,076 0,Szentesi,Szentes,5 ,Fábiánsebestyén,"4,520",370,227,,,,,,,,,,,,,,
Árpás,32249,község,Győr-Moson-Sopron,092 0,Téti,Tét,5 ,Gyarmat,"1,425",284,143,,,,,,,,,,,,,,
Ártánd,03319,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5 ,Biharkeresztes,"1,981",505,234,,,,,,,,,,,,,,
Ásotthalom,10339,nagyközség,Csongrád-Csanád,074 0,Mórahalmi,Mórahalom,1 ,–,"12,254",3665,1900,,,,,,,,,,,,,,
Ásványráró,26921,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,5 ,Kimle,"3,911",2170,903,,,,,,,,,,,,,,
Aszaló,04233,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,2 ,[Helyben],"2,536",1834,620,,,,,,,,1,,,,,,
Ászár,23852,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,2 ,[Helyben],"1,868",1395,675,,,,,,,,,,,,,,
Aszód,16188,város,Pest,122 1,Aszódi,Aszód,1 ,–,"1,620",6096,2650,,,,,,,,1,,,,,,
Aszófő,07339,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Tihany,832,485,203,,,,,,,,,,,,,,
Áta,28583,község,Baranya,028 0,Pécsi,Pécs,5 ,Pécsudvard,809,159,87,,,,,,,,,,,,,,
Átány,06503,község,Heves,108 0,Hevesi,Heves,2 ,[Helyben],"5,044",1426,517,,,,,,,,1,,,,,,
Atkár,16090,község,Heves,106 0,Gyöngyösi,Gyöngyös,5 ,Visonta,"3,376",1750,747,,,,,,,,,,,,,,
Attala,32735,község,Tolna,171 0,Dombóvári,Dombóvár,5 ,Dombóvár,"2,064",707,346,,,,,,,,,,,,,,
Babarc,05403,község,Baranya,024 0,Bólyi,Bóly,2 ,[Helyben],"1,885",659,310,,,,,,1,,1,,,,,,
Babarcszőlős,09663,község,Baranya,031 0,Siklósi,Siklós,5 ,Diósviszló,425,96,60,,,,,,,,,,,,,,
Babócsa,30474,község,Somogy,140 0,Barcsi,Barcs,5 ,Csokonyavisonta,"3,099",1332,685,,,,,,,,1,,,,,,
Bábolna,19363,város,Komárom-Esztergom,112 0,Komáromi,Komárom,2 ,[Helyben],"3,354",3424,1389,,,,,,,,,,,,,,
Bábonymegyer,28316,község,Somogy,147 0,Tabi,Tab,5 ,Tab,"2,193",770,339,,,,,,,,,,,,,,
Babosdöbréte,21263,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Zalaszentgyörgy,"1,252",504,241,,,,,,,,,,,,,,
Babót,15042,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,5 ,Szárföld,"2,167",1068,490,,,,,,,,,,,,,,
Bácsalmás,10719,város,Bács-Kiskun,034 1,Bácsalmási,Bácsalmás,2 ,[Helyben],"10,829",5963,3109,,,,1,,1,,1,,,,,,
Bácsbokod,10180,nagyközség,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,1 ,–,"6,393",2288,1175,,,,1,,1,,,,,,,,
Bácsborsód,27234,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,5 ,Katymár,"7,752",1022,419,,,,,,1,,,,,,,,
Bácsszentgyörgy,08697,község,Bács-Kiskun,035 0,Bajai,Baja,5 ,Gara,"1,474",125,86,,,,,,,,,,,,,,
Bácsszőlős,30155,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,5 ,Bácsalmás,"3,883",286,209,,,,,,,,,,,,,,
Badacsonytomaj,22327,város,Veszprém,189 0,Tapolcai,Tapolca,2 ,[Helyben],"3,270",2101,1198,,,,,,,,,,,,,,
Badacsonytördemic,03267,község,Veszprém,189 0,Tapolcai,Tapolca,5 ,Szigliget,"1,025",867,503,,,,,,,,,,,,,,
Bag,09131,nagyközség,Pest,122 0,Aszódi,Aszód,1 ,–,"2,355",3712,1340,,,,,,,,,,,,,,
Bagamér,20011,nagyközség,Hajdú-Bihar,101 0,Nyíradonyi,Nyíradony,1 ,–,"4,702",2355,935,,,,,,,,1,,,,,,
Baglad,11059,község,Zala,194 0,Lenti,Lenti,5 ,Rédics,486,44,38,,,,,,,,,,,,,,
Bagod,30368,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,2 ,[Helyben],"1,637",1186,472,,,,,,,,,,,,,,
Bágyogszovát,28769,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Szany,"2,406",1233,555,,,,,,,,,,,,,,
Baj,29212,község,Komárom-Esztergom,114 0,Tatai,Tata,1 ,–,"2,112",2833,1673,,,,,,1,,,,,,,,
Baja,03522,megyei jogú város,Bács-Kiskun,035 1,Bajai,Baja,1 ,–,"17,789",32401,17325,,,,1,,1,,1,,,1,,,
Bajánsenye,17020,község,Vas,177 0,Körmendi,Körmend,5 ,Őriszentpéter,"2,185",487,244,,,,,,,,,,,,,,
Bajna,16744,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,2 ,[Helyben],"3,728",1819,782,,,,,,,,,,,,,,
Bajót,29355,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,2 ,[Helyben],"1,643",1597,552,,,,,,,,1,,,,,,
Bak,04738,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,2 ,[Helyben],"2,305",1514,579,,,,,,,,1,,,,,,
Bakháza,14395,község,Somogy,145 0,Nagyatádi,Nagyatád,5 ,Kutas,592,163,80,,,,,,,,,,,,,,
Bakóca,22275,község,Baranya,025 0,Hegyháti,Sásd,5 ,Mindszentgodisa,"1,065",267,134,,,,,,,,,,,,,,
Bakonszeg,15167,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5 ,Furta,"3,503",1073,596,,,,,,,,,,,,,,
Bakonya,08299,község,Baranya,028 0,Pécsi,Pécs,5 ,Orfű,"1,507",365,138,,,,,,,,1,,,,,,
Bakonybánk,24244,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5 ,Réde,"1,506",374,202,,,,,,,,,,,,,,
Bakonybél,23746,község,Veszprém,192 0,Zirci,Zirc,2 ,[Helyben],"2,436",1090,572,,,,,,1,,,,,,,,
Bakonycsernye,08730,nagyközség,Fejér,082 0,Móri,Mór,2 ,[Helyben],"3,813",2971,1215,,,,,,,,1,,,,1,,
Bakonygyirót,28936,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,5 ,Bakonyszentlászló,685,162,112,,,,,,,,,,,,,,
Bakonyjákó,29513,község,Veszprém,187 0,Pápai,Pápa,5 ,Adásztevel,"4,716",670,281,,,,,,1,,,,,,,,
Bakonykoppány,07287,község,Veszprém,187 0,Pápai,Pápa,5 ,Ugod,683,184,117,,,,,,,,,,,,,,
Bakonykúti,23153,község,Fejér,085 0,Székesfehérvári,Székesfehérvár,5 ,Iszkaszentgyörgy,"1,245",146,90,,,,,,,,,,,,,,
Bakonynána,25991,község,Veszprém,192 0,Zirci,Zirc,5 ,Bakonyszentkirály,"1,493",913,369,,,,,,1,,,,,,,,
Bakonyoszlop,30410,község,Veszprém,192 0,Zirci,Zirc,5 ,Bakonyszentkirály,"1,420",431,208,,,,,,1,,,,,,,,
Bakonypéterd,22062,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,5 ,Écs,"1,002",287,129,,,,,,,,,,,,,,
Bakonypölöske,06327,község,Veszprém,187 0,Pápai,Pápa,5 ,Pápakovácsi,"1,104",393,160,,,,,,1,,,,,,,,
Bakonyság,29902,község,Veszprém,187 0,Pápai,Pápa,5 ,Ugod,857,48,56,,,,,,,,,,,,,,
Bakonysárkány,25229,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5 ,Tárkány,"1,412",966,390,,,,,,1,,,,,,,,
Bakonyszentiván,23922,község,Veszprém,187 0,Pápai,Pápa,5 ,Pápateszér,914,212,99,,,,,,1,,,,,,,,
Bakonyszentkirály,22813,község,Veszprém,192 0,Zirci,Zirc,2 ,[Helyben],"2,790",771,384,,,,,,,,,,,,,,
Bakonyszentlászló,05944,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,2 ,[Helyben],"3,851",1573,777,,,,,,,,,,,,,,
Bakonyszombathely,22381,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,2 ,[Helyben],"3,652",1306,602,,,,,,,,,,,,,,
Bakonyszücs,26417,község,Veszprém,187 0,Pápai,Pápa,5 ,Ugod,"3,520",232,149,,,,,,1,,,,,,,,
Bakonytamási,24129,község,Veszprém,187 0,Pápai,Pápa,5 ,Csót,"2,049",536,287,,,,,,,,,,,,,,
Baks,29106,község,Csongrád-Csanád,072 0,Kisteleki,Kistelek,1 ,–,"6,192",1903,870,,,,,,,,1,,,,,,
Baksa,03975,község,Baranya,030 0,Sellyei,Sellye,2 ,[Helyben],"1,382",793,285,,,,,,,,1,,,,,,
Baktakék,18184,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5 ,Szalaszend,"1,879",793,267,,,,,,,,1,,,,,,
Baktalórántháza,02325,város,Szabolcs-Szatmár-Bereg,148 1,Baktalórántházai,Baktalórántháza,2 ,[Helyben],"3,524",3494,1127,,,,,,,,1,,,,,,
Baktüttös,15097,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Bocfölde,971,323,142,,,,,,,,,,,,,,
Balajt,22521,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Szendrőlád,903,512,143,,,,,,,,1,,,,,,
Balassagyarmat,13657,város,Nógrád,116 1,Balassagyarmati,Balassagyarmat,2 ,[Helyben],"2,333",13706,6753,,,,,,,,1,,,,,,
Balástya,23676,község,Csongrád-Csanád,072 0,Kisteleki,Kistelek,1 ,–,"11,000",3225,1816,,,,,,,,,,,,,,
Balaton,11527,község,Heves,103 0,Bélapátfalvai,Bélapátfalva,2 ,[Helyben],"1,320",915,439,,,,,,,,1,,,,,,
Balatonakali,25308,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Tihany,"3,620",684,553,,,,,,,,,,,,,,
Balatonakarattya,34421,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,5 ,Balatonfőkajár,"2,139",1214,574,B,,,,,,,,,,,,,
Balatonalmádi,05838,város,Veszprém,184 1,Balatonalmádi,Balatonalmádi,2 ,[Helyben],"4,988",10066,5097,,,,,,,,,,,,,,
Balatonberény,27377,község,Somogy,144 0,Marcali,Marcali,5 ,Balatonkeresztúr,"2,609",1168,893,,,,,,,,,,,,,,
Balatonboglár,33853,város,Somogy,142 0,Fonyódi,Fonyód,2 ,[Helyben],"3,204",5298,3042,,,,,,,,,,,,,,
Balatoncsicsó,03072,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Zánka,"1,318",279,109,,,,,,1,,,,,,,,
Balatonederics,12238,község,Veszprém,189 0,Tapolcai,Tapolca,5 ,Lesencetomaj,"1,858",1031,518,,,,,,,,,,,,,,
Balatonendréd,19460,község,Somogy,146 0,Siófoki,Siófok,5 ,Kőröshegy,"4,002",1300,611,,,,,,,,,,,,,,
Balatonfenyves,20729,község,Somogy,142 0,Fonyódi,Fonyód,1 ,–,"5,193",2022,1359,,,,,,,,,,,,,,
Balatonfőkajár,29461,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,2 ,[Helyben],"2,192",1301,625,,,,,,,,,,,,,,
Balatonföldvár,07117,város,Somogy,146 0,Siófoki,Siófok,2 ,[Helyben],"1,533",2295,1412,,,,,,,,,,,,,,
Balatonfüred,21175,város,Veszprém,185 1,Balatonfüredi,Balatonfüred,2 ,[Helyben],"4,645",12906,7112,,,,,,,,1,,,,,,
Balatonfűzfő,02219,város,Veszprém,184 0,Balatonalmádi,Balatonalmádi,2 ,[Helyben],925,4448,2158,,,,,,,,,,,,,,
Balatongyörök,17002,község,Zala,193 0,Keszthelyi,Keszthely,5 ,Vonyarcvashegy,"3,759",1297,696,,,,,,,,,,,,,,
Balatonhenye,03638,község,Veszprém,189 0,Tapolcai,Tapolca,5 ,Kővágóörs,"1,173",123,54,,,,,,,,,,,,,,
Balatonkenese,05148,város,Veszprém,184 0,Balatonalmádi,Balatonalmádi,1 ,–,"4,418",2570,1446,,,,,,,,,,,,,,
Balatonkeresztúr,07375,község,Somogy,144 0,Marcali,Marcali,2 ,[Helyben],"2,106",1664,874,,,,,,,,,,,,,,
Balatonlelle,33862,város,Somogy,142 0,Fonyódi,Fonyód,1 ,–,"4,323",4860,3396,,,,,,,,,,,,,,
Balatonmagyaród,26462,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5 ,Zalakomár,"3,153",398,255,,,,,,,,,,,,,,
Balatonmáriafürdő,14562,község,Somogy,144 0,Marcali,Marcali,5 ,Balatonkeresztúr,"2,677",849,481,,,,,,,,,,,,,,
Balatonőszöd,11916,község,Somogy,146 0,Siófoki,Siófok,5 ,Balatonszemes,"1,508",588,590,,,,,,,,,,,,,,
Balatonrendes,33844,község,Veszprém,189 0,Tapolcai,Tapolca,5 ,Badacsonytomaj,675,171,104,,,,,,,,,,,,,,
